customer_id,customer_name,city,area,signup_date,customer_segment
CUST0052,Mahika Sawhney,Pune,Aundh,2026-02-10,Regular
CUST0053,Barkha Parmer,Bangalore,BTM Layout,2024-01-25,Regular
CUST0054,Nitesh Vasa,Pune,Baner,2025-07-19,Regular
CUST0055,Pooja Tiwari,Bangalore,BTM Layout,2023-11-01,Premium
CUST0056,Gaurang Dyal,Bangalore,Whitefield,2026-05-17,Regular
CUST0057,Fariq Kant,Pune,Baner,2024-10-15,Premium
CUST0058,William Behl,Mumbai,Bandra,2025-09-28,New
CUST0059,Harsh Salvi,Bangalore,Koramangala,2024-03-31,New
CUST0060,Yachana Sathe,Mumbai,Kurla,2023-07-23,New
CUST0061,Maya Agate,Bangalore,Indiranagar,2025-05-24,New
CUST0062,Gautami Iyer,Mumbai,Borivali,2026-04-13,New
CUST0063,Lavanya Patel,Bangalore,BTM Layout,2025-04-04,Regular
CUST0064,Anvi Narayanan,Pune,Viman Nagar,2024-05-08,Regular
CUST0065,Nilima Krishnan,Bangalore,Indiranagar,2025-07-13,Regular
CUST0066,Vasana Tak,Mumbai,Dadar,2024-07-01,Regular
CUST0067,Sanya Narasimhan,Mumbai,Borivali,2026-06-02,Regular
CUST0068,Matthew Balakrishnan,Pune,Wakad,2025-06-16,New
CUST0069,Arjun Kumar,Pune,Viman Nagar,2024-02-20,Regular
CUST0070,Oni Kanda,Bangalore,Indiranagar,2025-08-10,New
CUST0071,Aryan Bumb,Bangalore,Jayanagar,2024-03-10,New
CUST0072,Dalaja Krishnamurthy,Pune,Koregaon Park,2024-01-16,Premium
CUST0073,Aashi Thaman,Pune,Viman Nagar,2026-01-12,New
CUST0074,Indrajit Ravi,Bangalore,HSR Layout,2025-01-16,New
CUST0075,Vedant De,Pune,Hadapsar,2025-08-25,Premium
CUST0076,Ayaan Naidu,Bangalore,BTM Layout,2024-01-18,Regular
CUST0077,Samuel Venkataraman,Mumbai,Kurla,2026-01-28,Regular
CUST0078,Ucchal Ramaswamy,Pune,Koregaon Park,2023-09-26,Regular
CUST0079,Vansha Modi,Mumbai,Thane,2024-02-28,Regular
CUST0080,Bhavika Gera,Bangalore,Koramangala,2025-10-22,Regular
CUST0081,Yamini Talwar,Bangalore,Koramangala,2024-04-18,New
CUST0082,Oni Parikh,Bangalore,Whitefield,2023-08-03,Premium
CUST0083,Omya Mital,Pune,Wakad,2025-11-30,New
CUST0084,Arya Mukherjee,Bangalore,HSR Layout,2023-10-28,New
CUST0085,Fiyaz Suresh,Pune,Baner,2023-11-17,Regular
CUST0086,Widisha Walla,Pune,Kothrud,2023-11-22,Premium
CUST0087,Oviya Chada,Bangalore,Koramangala,2024-01-17,New
CUST0088,Yauvani Kulkarni,Bangalore,Koramangala,2023-07-13,Premium
CUST0089,Leela Wadhwa,Pune,Wakad,2024-11-25,Regular
CUST0090,Vasana Sachdev,Mumbai,Bandra,2024-12-09,Premium
CUST0091,Ridhi Hora,Pune,Wakad,2024-02-25,Regular
CUST0092,Meghana Nair,Mumbai,Powai,2025-04-02,Premium
CUST0093,Akshay Tella,Mumbai,Powai,2023-07-14,Regular
CUST0094,Manan Chand,Bangalore,BTM Layout,2023-10-09,Regular
CUST0095,Zilmil Anne,Mumbai,Bandra,2024-12-28,New
CUST0096,Jairaj Bava,Pune,Koregaon Park,2024-04-25,Regular
CUST0097,Frederick Mand,Bangalore,Koramangala,2024-06-30,Regular
CUST0098,Anjali Prabhu,Pune,Koregaon Park,2025-09-25,Regular
CUST0099,Mohammed Dani,Bangalore,BTM Layout,2024-05-18,New
CUST0100,Ojas Lad,Bangalore,Koramangala,2024-03-25,Premium
CUST0101,Leela Karpe,Pune,Viman Nagar,2024-02-27,New
CUST0102,Laksh Mandal,Pune,Kothrud,2023-06-28,New
CUST0103,Amaira Peri,Bangalore,Indiranagar,2023-09-13,Regular
CUST0104,Advay Oak,Pune,Viman Nagar,2024-04-29,New
CUST0105,Yuvraj Mall,Bangalore,BTM Layout,2025-09-08,Regular
CUST0106,Zayyan Chaudhary,Mumbai,Powai,2024-02-05,New
CUST0107,Abhimanyu Dave,Bangalore,Whitefield,2024-11-14,New
CUST0108,Neel Bava,Mumbai,Bandra,2025-06-15,Regular
CUST0109,Ira Taneja,Mumbai,Thane,2023-08-29,Regular
CUST0110,Reyansh Contractor,Pune,Koregaon Park,2024-05-01,Regular
CUST0111,Qabil Balay,Bangalore,Koramangala,2024-10-16,New
CUST0112,Vaishnavi Palla,Pune,Viman Nagar,2024-09-23,New
CUST0113,Chatura Kakar,Mumbai,Andheri,2025-03-29,Premium
CUST0114,Aarna Dave,Mumbai,Powai,2024-10-20,New
CUST0115,Deepa Sahota,Bangalore,Jayanagar,2026-02-27,Regular
CUST0116,Benjamin Rana,Bangalore,BTM Layout,2023-07-04,New
CUST0117,Veda Cherian,Bangalore,Whitefield,2024-09-21,Premium
CUST0118,Ekantika Kaur,Pune,Wakad,2025-12-23,New
CUST0119,Urvashi Tank,Pune,Hadapsar,2024-12-16,Regular
CUST0120,Nicholas Cherian,Mumbai,Powai,2025-03-28,Regular
CUST0121,Unnati Agrawal,Bangalore,Whitefield,2024-11-28,New
CUST0122,Chaaya Kapoor,Bangalore,Whitefield,2024-06-10,Regular
CUST0123,Darsh Sekhon,Mumbai,Kurla,2024-09-08,New
CUST0124,Zayyan Chatterjee,Bangalore,HSR Layout,2024-06-21,Premium
CUST0125,Victor Bhargava,Pune,Koregaon Park,2024-07-22,Regular
CUST0126,Jacob Shah,Pune,Hadapsar,2025-07-28,Premium
CUST0127,Chatura Pandey,Pune,Hadapsar,2024-12-09,Regular
CUST0128,Jalsa Solanki,Bangalore,HSR Layout,2024-12-19,Regular
CUST0129,Zilmil Roy,Pune,Koregaon Park,2024-03-27,Premium
CUST0130,Advika Sachdeva,Bangalore,Indiranagar,2024-04-15,Regular
CUST0131,Frado Goswami,Mumbai,Borivali,2023-07-19,Regular
CUST0132,Kevin Shenoy,Mumbai,Bandra,2025-03-18,New
CUST0133,Vrishti Sankaran,Mumbai,Kurla,2023-12-24,Premium
CUST0134,Yagnesh Date,Pune,Baner,2025-07-07,New
CUST0135,Ranbir Murthy,Pune,Hadapsar,2025-12-18,New
CUST0136,Bina Gandhi,Bangalore,HSR Layout,2025-07-27,Premium
CUST0137,Rohan Bajwa,Bangalore,Indiranagar,2023-11-20,Premium
CUST0138,Anay Talwar,Pune,Aundh,2026-04-05,New
CUST0139,Jai Ahluwalia,Pune,Kothrud,2025-02-04,New
CUST0140,Faqid Loyal,Bangalore,Whitefield,2025-05-01,Regular
CUST0141,Omya Kala,Mumbai,Kurla,2025-03-31,Regular
CUST0142,Nikita Baral,Bangalore,Indiranagar,2024-01-30,New
CUST0143,Nitesh Ramakrishnan,Bangalore,Koramangala,2023-11-22,Regular
CUST0144,Leena Sura,Pune,Aundh,2023-09-02,Regular
CUST0145,Abdul Dada,Pune,Aundh,2026-05-07,Premium
CUST0146,Odika Soman,Mumbai,Powai,2024-09-01,Premium
CUST0147,Daniel Bath,Pune,Wakad,2026-05-05,New
CUST0148,Om Pall,Pune,Kothrud,2024-05-07,Regular
CUST0149,Alka Kapoor,Pune,Aundh,2026-02-25,New
CUST0150,Omkaar Naidu,Bangalore,BTM Layout,2025-06-03,Regular
CUST0151,Guneet Zacharia,Bangalore,Whitefield,2025-10-27,Premium
CUST0152,Priya Bava,Pune,Baner,2025-09-18,New
CUST0153,Anmol Kala,Mumbai,Andheri,2024-07-14,New
CUST0154,Indali Gera,Mumbai,Powai,2026-01-19,Regular
CUST0155,Aarini Sheth,Mumbai,Thane,2025-05-13,Regular
CUST0156,Ranbir Sha,Bangalore,Koramangala,2023-08-20,Regular
CUST0157,Abha Kurian,Bangalore,Indiranagar,2024-04-07,New
CUST0158,Neha Tank,Bangalore,HSR Layout,2024-10-06,New
CUST0159,Kalpit Barad,Bangalore,Jayanagar,2024-06-29,Regular
CUST0160,Ranbir Gole,Bangalore,Jayanagar,2024-01-20,Regular
CUST0161,Yatan Char,Mumbai,Thane,2023-10-23,New
CUST0162,Vasatika Rau,Bangalore,Whitefield,2024-09-02,Regular
CUST0163,Avni Vasa,Bangalore,Koramangala,2024-11-08,Regular
CUST0164,Devansh Raja,Mumbai,Borivali,2024-06-11,Regular
CUST0165,Maanav More,Mumbai,Powai,2025-02-08,Regular
CUST0166,Dev Nayak,Mumbai,Borivali,2023-10-06,New
CUST0167,Prisha Chaudhari,Mumbai,Dadar,2025-03-10,Premium
CUST0168,Ayushman Dugar,Bangalore,Jayanagar,2024-07-27,Premium
CUST0169,Caleb Vora,Bangalore,BTM Layout,2024-02-11,Regular
CUST0170,Bakhshi Iyengar,Bangalore,Koramangala,2025-05-22,Regular
CUST0171,Kalpit Manda,Pune,Kothrud,2025-07-16,Regular
CUST0172,Dakshesh Lall,Bangalore,Jayanagar,2026-02-13,Regular
CUST0173,Tara Gour,Mumbai,Thane,2024-09-30,Regular
CUST0174,Turvi Agarwal,Bangalore,HSR Layout,2023-10-28,Regular
CUST0175,Tanish Sarin,Bangalore,Indiranagar,2023-07-04,Regular
CUST0176,Ekanta Gill,Mumbai,Borivali,2023-12-08,Regular
CUST0177,Jagrati Sant,Bangalore,Whitefield,2025-11-16,New
CUST0178,Thomas Naidu,Pune,Hadapsar,2026-02-18,Regular
CUST0179,Arjun Comar,Pune,Wakad,2024-07-22,New
CUST0180,Rohan Kalita,Pune,Kothrud,2023-06-13,Regular
CUST0181,Aryan Datta,Pune,Kothrud,2024-04-13,Regular
CUST0182,Amol Kari,Bangalore,BTM Layout,2023-12-29,New
CUST0183,Indira Bhagat,Bangalore,HSR Layout,2024-07-26,Regular
CUST0184,Rehaan More,Pune,Wakad,2025-12-02,Regular
CUST0185,Mitali Narang,Pune,Aundh,2024-05-23,Premium
CUST0186,Ekani Batra,Pune,Aundh,2023-10-12,Regular
CUST0187,Lopa Ganesh,Pune,Aundh,2026-03-14,Premium
CUST0188,Krisha Jani,Bangalore,HSR Layout,2023-06-09,New
CUST0189,Neel Kade,Pune,Aundh,2024-07-09,New
CUST0190,Jackson Dhaliwal,Pune,Aundh,2025-03-21,Regular
CUST0191,Ayush Sarma,Bangalore,BTM Layout,2025-07-24,Regular
CUST0192,Vivaan Barman,Mumbai,Borivali,2024-05-20,Premium
CUST0193,Sathvik Hayre,Bangalore,HSR Layout,2024-09-06,Premium
CUST0194,Yauvani Narang,Bangalore,HSR Layout,2025-05-15,Premium
CUST0195,Rachit Rajagopalan,Bangalore,HSR Layout,2026-02-09,Regular
CUST0196,Zaid Kakar,Pune,Aundh,2025-05-31,Regular
CUST0197,Falan Doctor,Bangalore,HSR Layout,2024-07-17,Regular
CUST0198,Pavani Ratta,Mumbai,Thane,2025-04-07,New
CUST0199,Triveni Chaudhari,Mumbai,Bandra,2023-09-13,New
CUST0200,Advaith Bose,Mumbai,Borivali,2025-05-08,New
CUST0201,Qabil Nazareth,Pune,Wakad,2024-09-20,Regular
CUST0202,Megha Borde,Pune,Hadapsar,2023-08-31,New
CUST0203,Tara Ramaswamy,Mumbai,Thane,2026-01-14,Regular
CUST0204,Akshay Swamy,Mumbai,Thane,2026-01-05,New
CUST0205,Radha Rao,Mumbai,Thane,2025-11-21,Premium
CUST0206,Upma Choudhry,Bangalore,Jayanagar,2024-07-02,New
CUST0207,Zayan Raman,Bangalore,HSR Layout,2025-08-10,Regular
CUST0208,Tejas Chowdhury,Mumbai,Powai,2024-02-06,Regular
CUST0209,Darpan Nagy,Mumbai,Borivali,2023-11-01,Regular
CUST0210,Anirudh Nagar,Bangalore,BTM Layout,2024-05-24,Premium
CUST0211,Kamala Dhillon,Mumbai,Bandra,2024-04-27,New
CUST0212,Riya Pant,Mumbai,Andheri,2024-02-02,Regular
CUST0213,Alexander Babu,Bangalore,Jayanagar,2024-09-09,Regular
CUST0214,Rachita Cheema,Bangalore,Indiranagar,2023-09-26,Premium
CUST0215,Pavani Kumer,Pune,Viman Nagar,2025-09-05,Regular
CUST0216,Girik Chandra,Mumbai,Borivali,2025-10-28,Regular
CUST0217,Upasna Rajagopal,Pune,Koregaon Park,2023-11-16,Regular
CUST0218,Banjeet Sani,Pune,Aundh,2025-11-09,Regular
CUST0219,Dayamai Date,Pune,Baner,2023-07-10,Regular
CUST0220,Bahadurjit Sha,Pune,Kothrud,2023-10-17,Regular
CUST0221,Lakshit Srinivasan,Mumbai,Powai,2024-08-25,Regular
CUST0222,Ekanta Bhat,Mumbai,Powai,2025-06-23,Premium
CUST0223,Mekhala Datta,Mumbai,Andheri,2026-01-17,Regular
CUST0224,Ekanta Devan,Pune,Baner,2025-10-13,New
CUST0225,Avni Rastogi,Pune,Aundh,2026-01-08,Premium
CUST0226,Ekbal Purohit,Pune,Aundh,2024-09-09,New
CUST0227,Krishna Chandra,Pune,Wakad,2026-04-24,Premium
CUST0228,Urvashi Parekh,Bangalore,Indiranagar,2023-06-10,New
CUST0229,Bhavna Sen,Mumbai,Dadar,2025-10-07,New
CUST0230,Libni Bhasin,Pune,Kothrud,2024-09-16,Regular
CUST0231,Indira Ben,Mumbai,Bandra,2025-04-14,Regular
CUST0232,Chakrika Chacko,Bangalore,Jayanagar,2025-10-07,New
CUST0233,Charles Chandran,Pune,Baner,2023-10-07,New
CUST0234,Deepa Varty,Pune,Baner,2023-10-05,Regular
CUST0235,Kashvi Khanna,Mumbai,Thane,2024-01-20,Premium
CUST0236,Ekaja Savant,Pune,Koregaon Park,2024-01-22,Regular
CUST0237,Ekansh Palla,Bangalore,Indiranagar,2024-05-21,New
CUST0238,Zansi Gade,Mumbai,Kurla,2024-02-01,Regular
CUST0239,Raksha Butala,Pune,Aundh,2025-02-17,Premium
CUST0240,Hemal Hegde,Pune,Baner,2024-02-03,Regular
CUST0241,Warda Upadhyay,Bangalore,Whitefield,2024-11-13,New
CUST0242,Imaran Srinivas,Bangalore,Whitefield,2024-02-12,New
CUST0243,Balveer Bhat,Mumbai,Kurla,2026-01-01,Regular
CUST0244,Pranav Chokshi,Mumbai,Powai,2025-10-08,Regular
CUST0245,Madhav Prasad,Mumbai,Dadar,2023-09-09,New
CUST0246,Mitesh Rama,Pune,Hadapsar,2026-01-20,Regular
CUST0247,Oviya Ramanathan,Bangalore,Whitefield,2023-11-15,Regular
CUST0248,Chaaya Kaur,Bangalore,HSR Layout,2026-03-27,Regular
CUST0249,Bhavika Kunda,Bangalore,BTM Layout,2024-05-08,New
CUST0250,Anamika Saini,Pune,Aundh,2026-01-11,Premium
CUST0251,Oviya Taneja,Mumbai,Thane,2024-11-07,New
CUST0252,Alka Merchant,Mumbai,Borivali,2026-04-13,Regular
CUST0253,Upasna Soni,Mumbai,Powai,2026-05-17,New
CUST0254,Ekanta Salvi,Mumbai,Bandra,2025-12-10,Regular
CUST0255,Jacob Sachdev,Mumbai,Kurla,2025-04-04,New
CUST0256,Champak Roy,Mumbai,Borivali,2024-07-18,Regular
CUST0257,Parth Chhabra,Mumbai,Borivali,2024-08-30,New
CUST0258,Rachana Goda,Pune,Koregaon Park,2026-03-02,New
CUST0259,Yatin Kakar,Mumbai,Thane,2023-10-07,Regular
CUST0260,Ishanvi Wali,Pune,Hadapsar,2025-06-27,Regular
CUST0261,Caleb Magar,Bangalore,HSR Layout,2025-03-22,Regular
CUST0262,Onveer Deol,Pune,Koregaon Park,2024-06-16,New
CUST0263,Maanas Shah,Mumbai,Dadar,2024-03-20,New
CUST0264,Andrew Menon,Bangalore,BTM Layout,2025-07-15,Regular
CUST0265,Zinal Sodhi,Bangalore,BTM Layout,2024-10-07,Regular
CUST0266,Vasana Nagi,Bangalore,BTM Layout,2025-10-10,Regular
CUST0267,Mitesh Agate,Bangalore,HSR Layout,2023-06-28,New
CUST0268,Shravya Vala,Mumbai,Bandra,2024-09-23,New
CUST0269,Dev Arora,Pune,Baner,2023-11-18,New
CUST0270,Peter Koshy,Bangalore,Jayanagar,2025-05-13,New
CUST0271,Januja Krishnan,Pune,Hadapsar,2025-07-24,Regular
CUST0272,Nirja Dugar,Bangalore,BTM Layout,2024-10-28,Premium
CUST0273,Waida Srinivasan,Bangalore,BTM Layout,2026-04-09,New
CUST0274,Brinda Kothari,Pune,Aundh,2025-05-10,New
CUST0275,Om Narain,Pune,Baner,2025-07-26,New
CUST0276,Zinal Dani,Pune,Hadapsar,2024-05-10,Regular
CUST0277,Lekha Kar,Mumbai,Andheri,2025-03-14,Premium
CUST0278,Baljiwan Deshpande,Bangalore,Whitefield,2023-08-14,Regular
CUST0279,Bishakha Edwin,Pune,Hadapsar,2023-09-25,Premium
CUST0280,Liam Mann,Mumbai,Andheri,2025-04-06,Premium
CUST0281,Ikshita Sagar,Bangalore,Whitefield,2025-06-14,Regular
CUST0282,Bimala Korpal,Mumbai,Powai,2026-04-08,New
CUST0283,Manya Pau,Pune,Baner,2024-12-24,Premium
CUST0284,Charita Chhabra,Mumbai,Andheri,2023-11-28,Premium
CUST0285,Zaid Viswanathan,Mumbai,Thane,2024-06-30,New
CUST0286,Jeremiah Shroff,Bangalore,Jayanagar,2024-01-01,New
CUST0287,Darika Sura,Pune,Aundh,2023-11-09,Regular
CUST0288,Rachana Johal,Mumbai,Andheri,2023-10-09,Premium
CUST0289,Omya Pandya,Pune,Viman Nagar,2025-09-23,Regular
CUST0290,Vritti Raghavan,Bangalore,BTM Layout,2025-11-16,Regular
CUST0291,Vasana Suri,Pune,Aundh,2025-03-23,Regular
CUST0292,Watika Aurora,Mumbai,Thane,2026-05-03,New
CUST0293,Christopher Bhatnagar,Bangalore,HSR Layout,2025-10-24,Regular
CUST0294,Jasmit Prabhu,Bangalore,Koramangala,2024-10-17,Regular
CUST0295,Damini Dada,Bangalore,Koramangala,2024-05-06,Premium
CUST0296,Indira Ramaswamy,Pune,Hadapsar,2026-02-27,New
CUST0297,Aachal Rama,Bangalore,Koramangala,2026-02-18,New
CUST0298,Vasudha Andra,Pune,Viman Nagar,2024-04-12,New
CUST0299,Pooja Bhardwaj,Pune,Kothrud,2024-05-08,Regular
CUST0300,Onkar Majumdar,Bangalore,HSR Layout,2026-01-17,New
CUST0301,Manan Mishra,Pune,Baner,2025-12-30,Regular
CUST0302,Oeshi Raj,Bangalore,HSR Layout,2025-05-23,New
CUST0303,Unni Barman,Pune,Baner,2025-07-22,Regular
CUST0304,Vamakshi Bobal,Bangalore,BTM Layout,2026-05-11,Regular
CUST0305,Chatura Randhawa,Pune,Kothrud,2026-02-21,New
CUST0306,Advaith Barad,Pune,Hadapsar,2025-10-19,New
CUST0307,Turvi Bajaj,Mumbai,Kurla,2026-03-06,New
CUST0308,Ira Pillai,Pune,Wakad,2024-02-11,Regular
CUST0309,Vivaan Sarraf,Bangalore,Jayanagar,2026-01-08,Premium
CUST0310,Bachittar Kohli,Mumbai,Thane,2024-02-29,New
CUST0311,Sarthak Vyas,Bangalore,Whitefield,2025-06-02,Regular
CUST0312,Praneel Buch,Mumbai,Borivali,2024-11-01,Regular
CUST0313,Hritik Sidhu,Mumbai,Andheri,2026-01-02,Regular
CUST0314,Gautam Nagar,Mumbai,Dadar,2023-09-03,Regular
CUST0315,Anjali Mital,Mumbai,Andheri,2024-09-30,New
CUST0316,Matthew Kohli,Bangalore,BTM Layout,2024-02-15,Regular
CUST0317,Udarsh Master,Pune,Aundh,2024-11-02,Regular
CUST0318,Jai Sharma,Mumbai,Borivali,2025-11-05,New
CUST0319,Faris Mitter,Pune,Kothrud,2025-12-23,Regular
CUST0320,Ira Yohannan,Mumbai,Powai,2025-01-04,New
CUST0321,Gauri Borah,Bangalore,HSR Layout,2026-04-18,Regular
CUST0322,Caleb Deshmukh,Mumbai,Andheri,2025-06-05,Regular
CUST0323,Brinda Hari,Mumbai,Powai,2024-02-14,Regular
CUST0324,Yashvi Om,Pune,Aundh,2024-04-06,New
CUST0325,Yash Rana,Mumbai,Dadar,2025-01-01,Regular
CUST0326,Chandran Vig,Bangalore,HSR Layout,2024-12-08,Premium
CUST0327,Sudiksha Mangal,Bangalore,Koramangala,2024-11-09,Regular
CUST0328,Chatresh Mitter,Mumbai,Powai,2025-01-14,Regular
CUST0329,Caleb Balay,Mumbai,Kurla,2023-07-14,Regular
CUST0330,Peter Buch,Pune,Hadapsar,2024-12-08,Premium
CUST0331,Krishna Badami,Mumbai,Thane,2024-04-30,New
CUST0332,Nathan Doctor,Bangalore,Whitefield,2025-05-05,Regular
CUST0333,Nilima Pall,Mumbai,Dadar,2025-04-19,Regular
CUST0334,Jeet Bhavsar,Pune,Wakad,2024-03-02,New
CUST0335,Saumya Tiwari,Pune,Baner,2024-01-22,Regular
CUST0336,Hemal Srinivas,Bangalore,HSR Layout,2024-07-03,New
CUST0337,Baghyawati Bedi,Bangalore,BTM Layout,2024-04-29,Regular
CUST0338,Nitesh Kari,Bangalore,Indiranagar,2024-12-05,Regular
CUST0339,Samuel Bobal,Pune,Viman Nagar,2025-01-06,Regular
CUST0340,Warhi Manne,Pune,Aundh,2024-09-13,Premium
CUST0341,Fitan Pandey,Mumbai,Andheri,2024-06-25,Regular
CUST0342,Zayyan Aurora,Pune,Kothrud,2024-03-14,Premium
CUST0343,Wakeeta Basu,Mumbai,Borivali,2024-10-28,Regular
CUST0344,Ati Som,Mumbai,Kurla,2024-11-01,Regular
CUST0345,Gaurika Mall,Mumbai,Bandra,2025-04-14,Regular
CUST0346,Amol Ratta,Pune,Kothrud,2024-04-16,New
CUST0347,Kiaan Sani,Bangalore,BTM Layout,2024-12-17,Regular
CUST0348,Indrajit Borah,Pune,Aundh,2024-04-19,New
CUST0349,Charan Bala,Mumbai,Powai,2025-09-03,Premium
CUST0350,Vincent Borde,Bangalore,Whitefield,2026-06-02,Premium
CUST0351,Harinakshi Sinha,Mumbai,Dadar,2026-03-18,New
CUST0352,Orinder Choudhry,Bangalore,BTM Layout,2025-10-23,Premium
CUST0353,Teerth Divan,Mumbai,Kurla,2024-03-09,New
CUST0354,Pahal Bhattacharyya,Bangalore,HSR Layout,2025-07-24,Regular
CUST0355,Charles Kaur,Bangalore,BTM Layout,2025-12-02,Regular
CUST0356,Jason Rana,Mumbai,Kurla,2026-05-05,New
CUST0357,Jyoti Sagar,Bangalore,Indiranagar,2023-10-10,Regular
CUST0358,Megha Kumer,Pune,Aundh,2025-12-08,Regular
CUST0359,Tamanna Kumer,Pune,Baner,2026-02-17,Regular
CUST0360,Yatan Sarma,Bangalore,HSR Layout,2023-12-26,Regular
CUST0361,Sanaya Bhalla,Bangalore,Jayanagar,2026-01-23,Premium
CUST0362,Agastya Aggarwal,Mumbai,Andheri,2023-07-27,New
CUST0363,Tanish Gala,Bangalore,Whitefield,2025-11-07,Premium
CUST0364,Akshay Panchal,Mumbai,Andheri,2024-07-12,Regular
CUST0365,Udarsh Saini,Mumbai,Andheri,2025-06-29,Regular
CUST0366,Elijah Memon,Mumbai,Kurla,2023-07-09,Regular
CUST0367,Karan Goel,Pune,Koregaon Park,2025-05-08,Regular
CUST0368,Mason Garg,Mumbai,Powai,2024-10-25,Regular
CUST0369,Ekantika Agarwal,Mumbai,Dadar,2023-09-17,New
CUST0370,Madhavi Nigam,Mumbai,Kurla,2023-12-04,Regular
CUST0371,Rachit Dada,Bangalore,HSR Layout,2025-01-12,Premium
CUST0372,Udant Ravel,Bangalore,Jayanagar,2025-12-23,Premium
CUST0373,Timothy Luthra,Mumbai,Kurla,2024-01-02,Regular
CUST0374,Zilmil Dua,Bangalore,Koramangala,2026-01-14,New
CUST0375,Bimala Nadig,Bangalore,Whitefield,2025-11-05,Premium
CUST0376,Aditya Dayal,Bangalore,Koramangala,2025-02-27,Regular
CUST0377,Gavin Kapadia,Pune,Aundh,2025-06-29,Regular
CUST0378,Onveer Bhavsar,Pune,Kothrud,2023-12-26,New
CUST0379,Eta Balasubramanian,Mumbai,Andheri,2024-02-26,New
CUST0380,Tarak Sharaf,Pune,Baner,2025-07-16,Regular
CUST0381,Jagat Balakrishnan,Mumbai,Bandra,2024-08-22,New
CUST0382,Dev Lal,Mumbai,Borivali,2025-12-04,Regular
